Customer_id;Customer_name;Address_line1
Inti Jaya Siantan Tengah 2;Inti Jaya Siantan Tengah 2;Jl. Khatulistiwa Kel. Siantan Tengah Kec. Pontianak Utara Kab. Pontianak
Jakarta Singkawang 2;Jakarta Singkawang 2;Jl. Sejahtera No. 66 Kel. Singkawang Kec. -
Joko Sungai Raya 2;Joko Sungai Raya 2;Jl. Sungai Raya Kel. Sungai Raya Kec. Pontianak Utara
K Saman Sanggau 2;K Saman Sanggau 2;Jl. Cik Ditiro No. 159 Kapuas Kanan Hulu Kel. Sangau  Kec. -
Kalimantan Expres Benua Melayu Darat 2;Kalimantan Expres Benua Melayu Darat 2;Jl. Abdul Rachman Saleh No. A1
Kapuas Karya Jaya Putussibau 2;Kapuas Karya Jaya Putussibau 2;Jl. Merdeka No. 15 Kel. Putussibau Kec. -
Karya Cahaya (Ati) Singkawang 2;Karya Cahaya (Ati) Singkawang 2;Jl. Sei Garang Gudang Kel. Singkawang Kec.-
Karya Cahaya Amy Singkawang 2;Karya Cahaya Amy Singkawang 2;Jl. Sejahtera (Gedung Krisdasana) Kel. Singkawag Kec. - 
Karya Cahaya Eni Singkawang 2;Karya Cahaya Eni Singkawang 2;Jl. Alianyang Singkawang Kel. Singkawang Kec. -
Karya Cahaya Singkawang 2;Karya Cahaya Singkawang 2;Jl. Ratu Sepaduk Kel. Singkawang Kec. -
Karya Hasil Sungai Pinyuh 2;Karya Hasil Sungai Pinyuh 2;Sungai pinyuh Kel. Sungai Pinyuh Kec. Sungai pinyuh Kab. Pontianak
Karya Jaya Tanjung Hulu 2;Karya Jaya Tanjung Hulu 2;Jl. Yam Sabran Kel. Tanjung Hulu Kec. Pontianak Timur
Koto Inti Lestari Sungai Raya 2;Koto Inti Lestari Sungai Raya 2;Jl. Adi sucipto Gg. Nurul huda Kel. Sungai Raya Kec. Pontianak Selatan 
Mansur Mempawah 2;Mansur Mempawah 2;Jl. Sui Dungun Kel. Mempawah Kec, - 
Masuni Kubu Raya 2;Masuni Kubu Raya 2;Jl. Sui Ambawang Kel. Kubu Raya Kec.-
Masuri Parit Tokaya 2;Masuri Parit Tokaya 2;Jl. Perdamaian Kel. Parit Tokaya Kec. Pontianak Selatan
Matahari Indah II Ngabang 2;Matahari Indah II Ngabang 2;Jl. Pulau Bendu No. 81 Kel. Ngabang Kec. -
Mega Bangunan Sambas 2;Mega Bangunan Sambas 2;Jl. Raya Sambas Kel. Sambas Kec. -
Mega Sari Utama Ketapang 2;Mega Sari Utama Ketapang 2;Jl. RM. Sudiono No. 6 Kel. Ketapang Kec. -
Megah jaya Sungai Pinyuh 2;Megah jaya Sungai Pinyuh 2;Jl. Raya Sungai Pinyuh Kel. Sungai Pinyuh Kec. -
Mengtong Sui Ambawang 2;Mengtong Sui Ambawang 2;Jl. Penjara Gg. Padi No. 8 Kel. Ambawang Kec. Pontianak Barat
Mitra Nusantara Sintang 2;Mitra Nusantara Sintang 2;Jl. W.r Supratman
Mitra Pal 4 Pal Empat 2;Mitra Pal 4 Pal Empat 2;Jl. Husein Hamzah Kel. Pal Empat Kec. Pontianak Barat
Mitra Steel Sungai Bagkong 2;Mitra Steel Sungai Bagkong 2;Jl. Alianyang Kel. Sungai Bangkong Kec. Pontianak Barat 
Multi Jaya Sanggau 2;Multi Jaya Sanggau 2;Jl. Raya Sanggau Kel. Sanggau Kec. -
Mustajab Jaya Jongkat 2;Mustajab Jaya Jongkat 2;Jl. Raya Jongkat Kel. Jongkat Kec. Jongkat Jaya
Naga Berlian Siantan Tengah 2;Naga Berlian Siantan Tengah 2;Jl. Khatulistiwa Parit makmur  No. 32 Kel. Siantan Tengah Kec. Pontianak Utara
Nanang Sambas 2;Nanang Sambas 2;Jl. Jawai Lel. Sambas Kec. -
Nata Karya Sungai Raya Dalam 2;Nata Karya Sungai Raya Dalam 2;Jl. Adi Sucipto KM 8 Kel. Sungai Raya Dalam Kec. Pontianak Selatan
NP Jaya Mandor 2;NP Jaya Mandor 2;Jl. Jurusan Ngabang Kel. Mandor Kec. -
Oriental Steel Sungai Raya 2;Oriental Steel Sungai Raya 2;Jl. A. Yani 2 KM 16.2 Kel Sungai Raya Kec. Kubu Raya
Pantas Tebas 2;Pantas Tebas 2;Jl. Raya Tebas Kel. Tebas Kec. -
Perintis Jaya Sungai Pinyuh 2;Perintis Jaya Sungai Pinyuh 2;Sungai Pinyuh Kel. Sungai Pinyuh Kec. -
Prima Sarana Siantan Tengah 2;Prima Sarana Siantan Tengah 2;Jl. Selat Sumba II No. 1  Kel. Siantan Tengah Kec. Pontianak Utara
Putra Mandiri Darat Skip 2;Putra Mandiri Darat Skip 2;Jl. Gajah Mada No. 8 Kel. Darat Skip Kec. Pontianak Selatan 
Rachma Perkasa Sungai Raya 2;Rachma Perkasa Sungai Raya 2;Jl. Parit H. Muksin 2 kompleks Istana Kita No. 10 Kel. Sungai Raya Kec. -
Raisman Pemangkat 2;Raisman Pemangkat 2;Desa Sala Tiga Kel. Pemangkat Kec. -
Risman Pemangkat 2;Risman Pemangkat 2;Desa Sala Tiga
Roda Jaya Nangah Pinoh 2;Roda Jaya Nangah Pinoh 2;Jl. Juang (depan Polsek) Kel. Nangah Pinoh Kec. -
Royal Material Parit Tokaya (Along) 2;Royal Material Parit Tokaya (Along) 2;Jl. Ahmad Yani Samping Bank Permata Kel. Parit Tokaya Kec. Pontianak Selantan
Salamsyah Saigon 2;Salamsyah Saigon 2;Jl. Tanjung Raya Kel. Saigon Kec. Pontianak Timuar
Salimin Benua Melayu Laut 2;Salimin Benua Melayu Laut 2;Jl. Tanjung Pura Kel. Benua Melayu Laut Kec. Pontianak Selatan
Sarana Jaya Batu Layang 2;Sarana Jaya Batu Layang 2;Jl. Raya Wajok Kel. Batu Layang Kec. Pontianak Timur
Satria Jaya Multi Benua Melayu Laut 2;Satria Jaya Multi Benua Melayu Laut 2;Jl. Sultan Muhammad No. 99 Kel. Benua Melayu Laut Kec. Pontianak Selatan
Sentosa Singkawang 2;Sentosa Singkawang 2 ;Jl. Jendral Sudirman N. 08 Pasar Roban Kel. Singkawang Kec. -
Setia Jaya Pahoman 2;Setia Jaya Pahoman 2;Jl. Pahoman 
Sikin Parit Tokaya 2;Sikin Parit Tokaya 2;Jl. A. Yani 1 Kel. Parit Tokaya Kec. Pontianak Selatan 
Siman Bahar Wajok Hilir 2;Siman Bahar Wajok Hilir 2;Jl. Raya Wajok Hilir Kel. Wajok Hilir Kec. Siantan
Sinar Anugerah Putussibau 2;Sinar Anugerah Putussibau 2;Jl. Muhammad Amin No. 27 Kel. Putussibau Kec. -
Sinar Bangunan Sungai Jawi Dalam 2;Sinar Bangunan Sungai Jawi Dalam 2;Jl. Husein hamzah Kel. Sungai Jawi Dalam Kec. Pontianak Barat
Sinar Baru Sambas 2;Sinar Baru Sambas 2;Jl. Sambas Kel. Sambas Kec. -
